Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
TFDP1	0	0	100	-100	T
MYC	0	0	100	-100	T
NFYB	0	0	100	-100	T
SREBF2	0	0	100	-100	T
E2F2	0	0	100	-100	T
NR2F1	0	0	100	-100	T
E2F4	0	0	100	-100	T
TFAP2C	0	0	100	-100	T
HBP1	0	0	100	-100	T
MYCN	0	0	100	-100	T
MAZ	0	0	100	-100	T
FLI1	0	100	0	100	T
ELK1	0	100	0	100	T
NCOA3	0	100	0	100	T
SOX2	0	100	0	100	T
NFATC1	0	100	0	100	T
ZBTB7A	0	100	0	100	T
NCOA2	0	100	0	100	T
STAT1	0	100	0	100	T
REL	0	100	0	100	T
KMT2A	0	100	0	100	T
NFKB1	0	100	0	100	T
ARNTL	0	100	0	100	T
FOXL2	0	100	0	100	T
RELA	0	100	0	100	T
MAPK14	0	100	0	100	I
MAPK1	0	0	100	-100	I
ATR	0	100	0	100	I
E2F1	0	0	100	-100	I
SMAD4	0	0	100	-100	I
GSK3B	0	0	100	-100	I
EP300	0	100	0	100	I
NKRF	0	0	100	-100	I
CSNK2A1	0	0	100	-100	I
MAPK11	0	0	100	-100	I
RXRB	0	0	100	-100	I
RPS6KA2	0	100	0	100	I
TESK2	0	100	0	100	I
CIITA	0	0	100	-100	I
DDX20	0	100	0	100	I
PIK3CA	0	100	0	100	I
BCAR3	0	100	0	100	I
WDR77	0	100	0	100	I
TP63	0	0	100	-100	I
CABLES1	0	0	100	-100	I
Perturbation	0	100	0	100	S
