Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
SP1	0	0	100	-100	T
RARA	0	0	100	-100	T
ETS2	0	0	100	-100	T
JUN	0	0	100	-100	T
SREBF1	0	0	100	-100	T
CREB1	0	0	100	-100	T
ETS1	0	0	100	-100	T
TFDP1	0	0	100	-100	T
GATA2	0	0	100	-100	T
SP3	0	0	100	-100	T
FOXM1	0	0	100	-100	T
E2F4	0	0	100	-100	T
STAT3	0	0	100	-100	T
EGR1	0	0	100	-100	T
HIF1A	0	0	100	-100	T
ETV4	0	0	100	-100	T
FOSL2	0	0	100	-100	T
E2F3	0	0	100	-100	T
STAT2	0	100	0	100	T
IRF9	0	100	0	100	T
FOXO4	0	100	0	100	T
KMT2A	0	100	0	100	T
FOXO1	0	100	0	100	T
SSRP1	0	100	0	100	T
NTRK1	0	0	100	-100	S
MAPK14	12.5	0	87.5	-87.5	I
MAPK3	25	0	75	-75	I
MAPK1	12.5	62.5	25	37.5	I
ATR	0	100	0	100	I
E2F1	0	0	100	-100	I
ABL1	0	0	100	-100	S
RBL2	87.5	0	12.5	-12.5	I
CDK2	0	100	0	100	I
HRAS	87.5	0	12.5	-12.5	I
KIT	0	0	100	-100	S
SMAD2	62.5	0	37.5	-37.5	I
SMAD4	62.5	0	37.5	-37.5	I
CCNA2	75	0	25	-25	I
CSNK2A1	0	0	100	-100	I
CEBPB	87.5	0	12.5	-12.5	I
MAPK11	0	0	100	-100	S
PIAS1	62.5	0	37.5	-37.5	I
RET	0	0	100	-100	S
PDGFRA	0	0	100	-100	S
PDGFRB	0	0	100	-100	S
TEK	0	0	100	-100	S
FGFR1	0	0	100	-100	S
FGFR2	0	0	100	-100	S
CDK4	50	0	50	-50	I
CCNE1	75	0	25	-25	I
