Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
ZBTB7A	0	0	100	-100	T
SNAI2	0	0	100	-100	T
ZEB1	0	0	100	-100	T
ZEB2	0	0	100	-100	T
KMT2A	0	100	0	100	T
ELF1	0	100	0	100	T
POU2F2	0	100	0	100	T
FOS	0	100	0	100	T
KLF1	0	100	0	100	T
NR1H3	0	100	0	100	T
NR1H2	0	100	0	100	T
TFAP2A	0	100	0	100	T
GATA3	0	100	0	100	T
MYOD1	0	100	0	100	T
KLF4	0	100	0	100	T
ELF3	0	100	0	100	T
POU2F1	0	100	0	100	T
MAX	0	100	0	100	T
KLF5	0	100	0	100	T
MAZ	0	100	0	100	T
JAK2	0	0	100	-100	I
MAPK1	0	100	0	100	I
RELA	50	50	0	50	I
PAK1	0	100	0	100	I
KIT	50	0	50	-50	I
SMAD3	50	50	0	50	I
STAT3	50	50	0	50	I
NFKB1	50	50	0	50	I
PARP1	50	0	50	-50	I
GAPDH	0	100	0	100	I
CREBBP	50	50	0	50	I
RUNX1	50	0	50	-50	I
CTBP1	0	0	100	-100	I
EP300	50	50	0	50	I
CSNK2A1	0	100	0	100	I
ERBB3	50	0	50	-50	I
NR1I2	0	0	100	-100	I
HDAC1	0	50	50	0	I
MEN1	0	100	0	100	I
PRKCD	50	50	0	50	I
PPP2CA	0	0	100	-100	I
RXRB	0	100	0	100	I
CAMK2D	50	0	50	-50	I
FGF19	0	0	100	-100	I
PIK3CA	0	0	100	-100	I
CYP3A4	0	0	100	-100	S
