Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
E2F4	0	0	100	-100	T
MYC	0	0	100	-100	T
SREBF2	0	0	100	-100	T
NFYB	0	0	100	-100	T
SREBF1	0	0	100	-100	T
AR	0	0	100	-100	T
SSRP1	0	0	100	-100	T
NR2C2	0	0	100	-100	T
TFDP1	0	0	100	-100	T
FOXM1	0	0	100	-100	T
STAT2	0	0	100	-100	T
HIF1A	0	0	100	-100	T
TWIST1	0	100	0	100	T
NANOG	0	100	0	100	T
SPI1	0	100	0	100	T
SPIB	0	100	0	100	T
STAT1	0	100	0	100	T
POU2F1	0	100	0	100	T
IRF4	0	100	0	100	T
ONECUT1	0	100	0	100	T
PDX1	0	100	0	100	T
TBX21	0	100	0	100	T
SOX2	0	100	0	100	T
PRKACA	0	100	0	100	I
LCK	0	0	100	-100	I
MAPK14	0	100	0	100	I
CDK1	0	0	100	-100	I
TP53	100	0	0	0	I
TP53BP1	100	0	0	0	I
SMAD4	0	0	100	-100	I
JAK1	0	100	0	100	I
TRAF6	0	0	100	-100	I
BRCA1	0	100	0	100	I
PAXIP1	100	0	0	0	I
CSNK2A1	0	100	0	100	I
MAPK11	0	100	0	100	I
IRAK1	0	0	100	-100	I
HDAC4	100	0	0	0	I
NR0B2	0	0	100	-100	I
CSK	0	100	0	100	I
CAMP	0	100	0	100	I
CSNK2A2	0	0	100	-100	I
PRKAA1	0	0	100	-100	I
ATF6	0	100	0	100	I
CIITA	0	0	100	-100	I
NHEJ1	100	0	0	0	I
CD44	0	100	0	100	I
PDE4B	0	0	100	-100	S
