Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
ZEB2	0	0	100	-100	T
MNT	0	0	100	-100	T
BHLHE40	0	0	100	-100	T
ZNF274	0	0	100	-100	T
TBX21	0	100	0	100	T
EGR1	0	100	0	100	T
NFKB1	0	100	0	100	T
ESR1	0	100	0	100	T
TBP	0	100	0	100	T
STAT5A	0	100	0	100	T
TP63	0	100	0	100	T
RBPJ	0	100	0	100	T
STAT1	0	100	0	100	T
ETS1	0	100	0	100	T
SPI1	0	100	0	100	T
RFX5	0	100	0	100	T
RFXANK	0	100	0	100	T
RFXAP	0	100	0	100	T
FOXA1	0	100	0	100	T
KLF4	0	100	0	100	T
FLI1	0	100	0	100	T
SMAD1	0	100	0	100	T
MAPK1	0	100	0	100	I
TP53	0	0	100	-100	I
FBXW7	0	0	100	-100	I
STAT3	0	100	0	100	I
EP300	0	100	0	100	I
MET	0	0	100	-100	S
MAX	0	0	100	-100	I
ADAM17	0	100	0	100	I
GTF2H2	0	100	0	100	I
CIITA	0	100	0	100	I
RCC1	0	0	100	-100	I
NUP188	0	100	0	100	I
