Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
TAF1	0	0	100	-100	T
TCF12	0	0	100	-100	T
KMT2A	0	0	100	-100	T
SOX2	0	0	100	-100	T
TEAD1	0	0	100	-100	T
SREBF1	0	0	100	-100	T
ARNT	0	0	100	-100	T
MEF2A	0	0	100	-100	T
MYBL2	0	0	100	-100	T
NCOA1	0	0	100	-100	T
NCOA3	0	0	100	-100	T
KDM5B	0	0	100	-100	T
ATF4	0	100	0	100	T
NR3C1	0	100	0	100	T
GATA1	0	100	0	100	T
STAT1	0	100	0	100	T
ESR2	0	100	0	100	T
FOXO3	0	100	0	100	T
TP53	0	100	0	100	T
MAPK3	0	100	0	100	I
AKT1	0	0	100	-100	I
ATR	0	0	100	-100	I
CDK2	0	0	100	-100	I
PARP1	0	100	0	100	I
NCOR2	0	0	100	-100	I
ERBB4	0	0	100	-100	I
INS	0	0	100	-100	I
SMAD1	0	100	0	100	I
ADRB2	0	100	0	100	I
SYT1	0	0	100	-100	I
MAPK12	0	100	0	100	I
CYBB	0	100	0	100	I
SMARCC1	0	0	100	-100	I
VAMP2	0	0	100	-100	I
ZNF652	0	100	0	100	I
