Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
RELA	0	0	100	-100	T
NFKB1	0	0	100	-100	T
ATF4	0	0	100	-100	T
IRF1	0	0	100	-100	T
REL	0	0	100	-100	T
CEBPB	0	0	100	-100	T
HIF1A	0	0	100	-100	T
FOXO4	0	0	100	-100	T
ETS2	0	0	100	-100	T
FOXO3	0	0	100	-100	T
RARA	0	0	100	-100	T
ELK1	0	0	100	-100	T
FOXO1	0	0	100	-100	T
NFATC2	0	0	100	-100	T
GABPA	0	100	0	100	T
MYOD1	0	100	0	100	T
POU5F1	0	100	0	100	T
GATA6	0	100	0	100	T
E2F2	0	100	0	100	T
NR2C2	0	100	0	100	T
E2F4	0	100	0	100	T
TAF1	0	100	0	100	T
SREBF1	0	100	0	100	T
KMT2A	0	100	0	100	T
MAPK14	0	0	100	-100	I
MAPK1	0	100	0	100	I
AKT1	0	100	0	100	I
ATR	0	100	0	100	I
TP53BP1	0	0	100	-100	I
IKBKE	0	0	100	-100	I
CREBBP	0	0	100	-100	I
GSK3A	0	0	100	-100	I
TAB1	0	100	0	100	I
CSNK2A1	0	100	0	100	I
RB1	0	0	100	-100	I
DDX58	0	0	100	-100	I
MAPK9	0	100	0	100	I
YWHAZ	0	0	100	-100	I
MLNR	0	0	100	-100	S
GNA14	0	0	100	-100	I
