Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
ATF4	0	0	100	-100	T
SOX2	0	0	100	-100	T
MEF2B	0	0	100	-100	T
NANOG	0	0	100	-100	T
STAT1	0	0	100	-100	T
NFE2L2	0	0	100	-100	T
POU2F1	0	0	100	-100	T
FOS	0	0	100	-100	T
ARID3A	0	0	100	-100	T
ZBTB7A	0	0	100	-100	T
MEF2C	0	0	100	-100	T
EGR1	0	0	100	-100	T
EPAS1	0	0	100	-100	T
PAX6	0	0	100	-100	T
MAZ	0	100	0	100	T
TCF7L2	0	100	0	100	T
E2F1	0	100	0	100	T
SSRP1	0	100	0	100	T
MYB	0	100	0	100	T
ZBED1	0	100	0	100	T
E2F5	0	100	0	100	T
E2F2	0	100	0	100	T
MYC	0	100	0	100	T
NR2C2	0	100	0	100	T
E2F4	0	100	0	100	T
MAPK14	0	0	100	-100	I
MAPK3	0	100	0	100	I
MAPK1	0	100	0	100	I
MTOR	0	0	100	-100	I
SMAD4	0	100	0	100	I
GAPDH	0	0	100	-100	I
TAB1	0	100	0	100	I
CSNK2A1	0	0	100	-100	I
PRKCA	0	0	100	-100	I
APEX1	0	0	100	-100	I
PRKCD	0	0	100	-100	I
GNA11	0	0	100	-100	I
MAX	0	0	100	-100	I
SMAD1	0	100	0	100	I
HRH1	0	0	100	-100	S
PIK3CA	0	0	100	-100	I
PLCG1	0	0	100	-100	I
LAMA1	0	0	100	-100	I
PLCB2	0	0	100	-100	I
CD44	0	0	100	-100	I
CA2_DAG1	0	0	100	-100	I
