Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
MAZ	0	0	100	-100	T
ATF3	0	0	100	-100	T
TFDP1	0	0	100	-100	T
BHLHE40	0	0	100	-100	T
CEBPD	0	100	0	100	T
NCOA3	0	100	0	100	T
TCF7	0	100	0	100	T
REL	0	100	0	100	T
FLI1	0	100	0	100	T
FOS	0	100	0	100	T
STAT1	0	100	0	100	T
ETV4	0	100	0	100	T
POU2F1	0	100	0	100	T
ELF1	0	100	0	100	T
ZBTB7A	0	100	0	100	T
CEBPB	0	100	0	100	T
KMT2A	0	100	0	100	T
TAF1	0	100	0	100	T
ATF2	0	100	0	100	T
CREB1	0	100	0	100	T
NFKB1	0	100	0	100	T
FOXL2	0	100	0	100	T
RELA	0	100	0	100	T
SRC	0	100	0	100	I
MAPK1	0	0	100	-100	I
TP53	0	0	100	-100	I
ATR	0	100	0	100	I
ABL1	0	100	0	100	I
CDK2	0	0	100	-100	I
SMAD4	0	100	0	100	I
STK11	0	100	0	100	I
SIRT1	0	0	100	-100	I
NKRF	0	0	100	-100	I
CSNK2A1	0	0	100	-100	I
KDM6A	0	0	100	-100	I
PPP2CA	0	0	100	-100	I
TDGF1	0	100	0	100	I
POU2AF1	0	100	0	100	I
PIK3CA	0	100	0	100	I
Perturbation	0	0	100	-100	S
