Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
E2F4	0	0	100	-100	T
E2F2	0	0	100	-100	T
MYC	0	0	100	-100	T
NR2C2	0	0	100	-100	T
TFDP1	0	0	100	-100	T
E2F1	0	0	100	-100	T
FOXM1	0	0	100	-100	T
SSRP1	0	0	100	-100	T
PPARA	0	100	0	100	T
TP63	0	100	0	100	T
IRF1	0	100	0	100	T
FOS	0	100	0	100	T
POU2F1	0	100	0	100	T
IRF9	0	100	0	100	T
FOXO3	0	100	0	100	T
STAT2	0	100	0	100	T
IRF2	0	100	0	100	T
TP53	0	100	0	100	T
NFE2L2	0	100	0	100	T
SPI1	0	100	0	100	T
SREBF2	0	100	0	100	T
STAT1	0	100	0	100	T
SREBF1	0	100	0	100	T
EGFR	0	0	100	-100	S
MAPK1	0	100	0	100	I
CDKN1A	100	0	0	0	I
MDM2	100	0	0	0	I
ATR	100	0	0	0	I
ABL1	100	0	0	0	I
PRKDC	0	0	100	-100	I
RBL2	100	0	0	0	I
MDC1	100	0	0	0	I
TP53BP1	100	0	0	0	I
CDK2	100	0	0	0	I
PAK1	100	0	0	0	I
ID3	100	0	0	0	I
ID2	100	0	0	0	I
FOXO1	100	0	0	0	I
PPP1CA	100	0	0	0	I
SMAD4	0	0	100	-100	I
SMAD3	100	0	0	0	I
CHEK2	0	0	100	-100	I
E2F3	100	0	0	0	I
CHEK1	100	0	0	0	I
IKBKB	0	0	100	-100	I
CCNA2	100	0	0	0	I
TP73	100	0	0	0	I
SIRT2	100	0	0	0	I
AXIN1	100	0	0	0	I
NCOA1	100	0	0	0	I
RUNX1	100	0	0	0	I
H2AFX	100	0	0	0	I
BRCA1	100	0	0	0	I
PAXIP1	100	0	0	0	I
CSNK2A1	0	100	0	100	I
RB1	100	0	0	0	I
NR1I2	100	0	0	0	I
CEBPB	100	0	0	0	I
KAT2A	100	0	0	0	I
MCPH1	100	0	0	0	I
ATRIP	100	0	0	0	I
ESR1	100	0	0	0	I
PGR	100	0	0	0	I
NPAT	100	0	0	0	I
EZH2	100	0	0	0	I
MYBL2	100	0	0	0	I
HDAC4	100	0	0	0	I
CDKN2D	100	0	0	0	I
ZBTB16	100	0	0	0	I
NPM1	100	0	0	0	I
TNF	100	0	0	0	I
RBBP8	100	0	0	0	I
BARD1	100	0	0	0	I
CDKN1B	100	0	0	0	I
SMAD6	0	100	0	100	I
WWOX	100	0	0	0	I
PRDX1	100	0	0	0	I
MKNK2	0	100	0	100	I
PTHLH	100	0	0	0	I
ANAPC1	100	0	0	0	I
DLG1	100	0	0	0	I
GRK2	100	0	0	0	I
ANAPC2	100	0	0	0	I
UBE2A	100	0	0	0	I
MYOD1	100	0	0	0	I
PRKAR1A	100	0	0	0	I
FOXO4	100	0	0	0	I
FOXO6	100	0	0	0	I
HMGA1	100	0	0	0	I
PIK3CA	0	0	100	-100	I
CDC27	100	0	0	0	I
ANAPC10	100	0	0	0	I
CCNE1	100	0	0	0	I
LIG1	100	0	0	0	I
ARID4A	100	0	0	0	I
NHEJ1	100	0	0	0	I
CDX2	100	0	0	0	I
CDC16	100	0	0	0	I
LIG3	100	0	0	0	I
UHRF2	100	0	0	0	I
ANAPC11	100	0	0	0	I
CDC23	100	0	0	0	I
ANAPC4	100	0	0	0	I
ANAPC5	100	0	0	0	I
TFDP2	100	0	0	0	I
CDC26	100	0	0	0	I
ANAPC7	100	0	0	0	I
CDKN1C	100	0	0	0	I
CDC6	100	0	0	0	I
ANAPC13	100	0	0	0	I
PSMD9	100	0	0	0	I
E2F5	100	0	0	0	I
PELP1	100	0	0	0	I
DDAH2	100	0	0	0	I
HIST1H1B	100	0	0	0	I
CDC25C	100	0	0	0	I
MCM4	100	0	0	0	I
MCM2	100	0	0	0	I
MCM3	100	0	0	0	I
DNMT1	100	0	0	0	I
TFCP2	100	0	0	0	I
RRN3	100	0	0	0	I
CCDC6	100	0	0	0	I
HIRA	100	0	0	0	I
CROCC	100	0	0	0	I
FOXK2	100	0	0	0	I
SF3B1	100	0	0	0	I
ZC3HC1	100	0	0	0	I
COIL	100	0	0	0	I
ORC2	100	0	0	0	I
TK1	100	0	0	0	I
LMNB1	100	0	0	0	I
PRB3	100	0	0	0	I
