Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
ATF4	0	100	0	100	T
BCL3	0	100	0	100	T
ESR1	0	100	0	100	T
FOS	0	100	0	100	T
FOXL2	0	100	0	100	T
FOXO4	0	100	0	100	T
FOXP1	0	0	100	-100	T
HIF1A	0	100	0	100	T
JUNB	0	100	0	100	T
KLF4	0	100	0	100	T
MAX	0	100	0	100	T
MEF2A	0	100	0	100	T
NFE2L2	0	100	0	100	T
NFKB1	0	100	0	100	T
NR4A1	0	100	0	100	T
PBX2	0	100	0	100	T
POU2F1	0	100	0	100	T
SMAD3	0	100	0	100	T
SSRP1	0	100	0	100	T
TBP	0	100	0	100	T
TBX21	0	100	0	100	T
TEAD1	0	100	0	100	T
TFAP2A	0	100	0	100	T
TFDP1	0	0	100	-100	T
JAK2	0	100	0	100	I
AKT1	0	100	0	100	I
STAT3	0	100	0	100	I
SIRT1	0	0	100	-100	I
DZIP3	0	0	100	-100	I
MAPK7	0	100	0	100	I
CCND3	0	100	0	100	I
RPS6KA2	0	100	0	100	I
PTPRG	0	0	100	-100	I
POU2AF1	0	100	0	100	I
CDKL5	0	100	0	100	I
PIK3R5	0	100	0	100	I
Perturbation	0	0	100	-100	S
