Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
ZEB2	0	0	100	-100	T
MYC	0	0	100	-100	T
MTA3	0	0	100	-100	T
PPARA	0	100	0	100	T
KLF1	0	100	0	100	T
TCF7	0	100	0	100	T
STAT1	0	100	0	100	T
SOX2	0	100	0	100	T
EBF1	0	100	0	100	T
FOS	0	100	0	100	T
POU2F2	0	100	0	100	T
TP63	0	100	0	100	T
TP53	0	100	0	100	T
IRF2	0	100	0	100	T
RFX5	0	100	0	100	T
SREBF2	0	100	0	100	T
IRF1	0	100	0	100	T
RFXANK	0	100	0	100	T
RFXAP	0	100	0	100	T
NFKB1	0	100	0	100	T
SREBF1	0	100	0	100	T
SPI1	0	100	0	100	T
RELA	0	100	0	100	T
TBX21	0	100	0	100	T
SPIB	0	100	0	100	T
MAPK14	0	0	100	-100	I
MAPK1	0	100	0	100	I
CREBBP	0	100	0	100	I
RUNX1	0	0	100	-100	I
CTBP1	0	0	100	-100	I
CSNK2A1	0	0	100	-100	I
ESR1	0	0	100	-100	I
DUSP9	0	100	0	100	I
AAK1	0	100	0	100	I
SATB2	0	0	100	-100	I
ZNF521	0	0	100	-100	I
CIITA	0	100	0	100	I
Perturbation	0	0	100	-100	S
