Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
E2F4	0	0	100	-100	T
MYC	0	0	100	-100	T
SSRP1	0	0	100	-100	T
TFDP1	0	0	100	-100	T
E2F2	0	0	100	-100	T
E2F1	0	0	100	-100	T
TAF1	0	0	100	-100	T
ELF1	0	0	100	-100	T
SREBF1	0	0	100	-100	T
FOXK2	0	0	100	-100	T
NONO	0	0	100	-100	T
ZBED1	0	0	100	-100	T
NR1H2	0	0	100	-100	T
KMT2A	0	0	100	-100	T
ESR1	0	100	0	100	T
MAZ	0	100	0	100	T
TP53	0	100	0	100	T
PAX6	0	100	0	100	T
IRF3	0	100	0	100	T
EPAS1	0	100	0	100	T
POU2F1	0	100	0	100	T
MAPK3	0	100	0	100	I
MAPK1	0	0	100	-100	I
ATR	0	0	100	-100	I
PRKDC	0	0	100	-100	I
CDK2	0	0	100	-100	I
MTOR	0	100	0	100	I
HRAS	0	0	100	-100	S
MAPK8	50	50	0	50	I
SMAD4	50	0	50	-50	I
SFPQ	0	0	100	-100	I
EGF	0	100	0	100	I
PIN1	50	0	50	-50	I
CSNK2A1	0	100	0	100	I
CEBPB	50	0	50	-50	I
APEX1	0	100	0	100	I
MAP3K1	0	0	100	-100	I
NRAS	0	0	100	-100	S
KRAS	0	0	100	-100	S
PPP2CA	0	100	0	100	I
RXRB	0	0	100	-100	I
ALK	0	100	0	100	I
LIG1	0	100	0	100	I
SMARCC2	0	0	100	-100	I
