Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
ZEB2	0	0	100	-100	T
NR3C1	0	0	100	-100	T
ATF4	0	0	100	-100	T
ARID3A	0	0	100	-100	T
MEIS1	0	100	0	100	T
ETV4	0	100	0	100	T
GABPA	0	100	0	100	T
CREM	0	100	0	100	T
RFX5	0	100	0	100	T
RFXANK	0	100	0	100	T
RFXAP	0	100	0	100	T
E2F5	0	100	0	100	T
E2F4	0	100	0	100	T
MYBL2	0	100	0	100	T
ETV1	0	100	0	100	T
TEAD1	0	100	0	100	T
E2F2	0	100	0	100	T
STAT5B	0	100	0	100	T
E2F1	0	100	0	100	T
GATA6	0	100	0	100	T
MYOD1	0	100	0	100	T
PRKACA	0	0	100	-100	I
EGFR	50	50	0	50	I
AKT1	0	100	0	100	I
ATM	50	50	0	50	I
CDK2	0	100	0	100	I
PAK1	50	50	0	50	I
CASP7	0	100	0	100	I
SMAD4	50	50	0	50	I
GSK3A	0	0	100	-100	I
HMGB1	0	100	0	100	I
CEBPB	50	50	0	50	I
ANGPT1	0	100	0	100	I
IL5	50	50	0	50	I
KDR	50	50	0	50	I
RPS6KA2	0	100	0	100	I
CSF1R	50	50	0	50	I
F2	0	0	100	-100	I
PRKAR1A	0	100	0	100	I
CIITA	0	100	0	100	I
HOXD9	0	100	0	100	I
DFFB	0	100	0	100	I
F10	0	0	100	-100	S
