Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
E2F4	0	0	100	-100	T
E2F2	0	0	100	-100	T
MYCN	0	0	100	-100	T
IRF3	0	0	100	-100	T
SREBF2	0	0	100	-100	T
ZEB2	0	0	100	-100	T
TFDP1	0	0	100	-100	T
MAZ	0	0	100	-100	T
E2F3	0	0	100	-100	T
STAT1	0	100	0	100	T
TCF12	0	100	0	100	T
RBPJ	0	100	0	100	T
GATA3	0	100	0	100	T
JUN	0	100	0	100	T
RUNX2	0	100	0	100	T
REL	0	100	0	100	T
FOXL2	0	100	0	100	T
ATF4	0	100	0	100	T
MEF2A	0	100	0	100	T
RELA	0	100	0	100	T
NFKB1	0	100	0	100	T
SOX2	0	100	0	100	T
TEAD1	0	100	0	100	T
SRC	0	100	0	100	I
MAPK14	0	100	0	100	I
MAPK1	0	0	100	-100	I
AKT1	0	100	0	100	I
E2F1	0	0	100	-100	I
MAPKAPK5	0	100	0	100	I
NOTCH1	0	100	0	100	I
SMAD2	0	0	100	-100	I
CHEK1	0	0	100	-100	I
IFIH1	0	100	0	100	S
TBK1	0	100	0	100	I
CSNK2A1	0	0	100	-100	I
DDX58	0	100	0	100	S
UBE2I	0	100	0	100	I
YAP1	0	0	100	-100	I
ERBB4	0	100	0	100	I
PSEN1	0	100	0	100	I
GNA12	0	100	0	100	I
DHX58	0	100	0	100	S
ZNF652	0	0	100	-100	I
