Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
E2F4	0	0	100	-100	T
E2F2	0	0	100	-100	T
MYCN	0	0	100	-100	T
IRF3	0	0	100	-100	T
SREBF2	0	0	100	-100	T
ZEB2	0	0	100	-100	T
TFDP1	0	0	100	-100	T
MAZ	0	0	100	-100	T
E2F3	0	0	100	-100	T
STAT1	0	100	0	100	T
TCF12	0	100	0	100	T
RBPJ	0	100	0	100	T
GATA3	0	100	0	100	T
JUN	0	100	0	100	T
RUNX2	0	100	0	100	T
REL	0	100	0	100	T
FOXL2	0	100	0	100	T
ATF4	0	100	0	100	T
MEF2A	0	100	0	100	T
RELA	0	100	0	100	T
NFKB1	0	100	0	100	T
SOX2	0	100	0	100	T
TEAD1	0	100	0	100	T
MAPK14	0	100	0	100	I
MAPK1	0	0	100	-100	I
AKT1	0	100	0	100	I
E2F1	0	0	100	-100	I
CDK2	0	100	0	100	I
MAPKAPK5	0	100	0	100	I
NOTCH1	0	100	0	100	I
IKBKE	33.3333333333333	66.6666666666667	0	66.6666666666667	I
SMAD2	0	0	100	-100	I
JAK1	66.6666666666667	33.3333333333333	0	33.3333333333333	I
IFIH1	0	100	0	100	S
TBK1	66.6666666666667	33.3333333333333	0	33.3333333333333	I
CSNK2A1	0	0	100	-100	I
HDAC3	33.3333333333333	0	66.6666666666667	-66.6666666666667	I
DDX58	0	100	0	100	S
UBE2I	0	100	0	100	I
YAP1	66.6666666666667	0	33.3333333333333	-33.3333333333333	I
ERBB4	0	100	0	100	I
JAK3	33.3333333333333	66.6666666666667	0	66.6666666666667	I
PSEN1	0	100	0	100	I
IFNAR2	0	100	0	100	S
IFNAR1	0	100	0	100	S
IFNGR1	0	100	0	100	S
IFNGR2	0	100	0	100	S
DHX58	0	100	0	100	S
ZNF652	0	0	100	-100	I
