,alprostadil,amodiaquine,amuvatinib,apixaban,astemizole,avasimibe,azithromycin,ciclesonide,clemastine,clomifene,dapivirine,digoxin,dronedarone,fluspirilene,hexachlorophene,homoharringtonine,ivacaftor,ketoconazole,lonafarnib,loperamide,niclosamide,osimertinib,papaverine,penfluridol,perhexiline,promethazine,regorafenib,thioguanine,thioridazine,toremifene,ZK-93423
AHR,0.7064282543659879,0.40742579808279106,0.929282991791453,1.2600891473899398,0.784578338463631,-0.620836959988566,0.443963233944937,-2.67043292926203,0.5216696189131099,0.849502878041897,1.4434720940188999,0.946301704617552,0.6332354840834671,1.5676613998196998,1.3193571865615301,1.4813294212074302,0.413675226771577,1.1785659764599,-1.18113068122368,1.43464513187112,3.8411611562399797,1.26841065253174,0.0836588176622511,1.6068528096889698,3.88723047803668,0.432943620300047,-1.27315156586827,-0.7533960819966371,3.6438046154510997,0.6859747788300321,1.42688962579027
AR,2.56577124681104,-0.0239047864235159,0.347673011122351,-0.8940421816152639,0.905222413583338,-0.482049414630834,-1.02955467976412,-1.1414913767176,-2.5069373745946097,0.146390920471759,0.7829123963484459,-3.06541916682088,1.380230022416,-1.24523440917951,-1.2837091493710602,-0.665731242830933,-1.35417962634859,1.74730592792191,1.05991079015095,-1.3620189103696299,0.21753254222189802,-0.591475845083787,-3.3144018638896298,-0.9417687720806279,0.47739187094936403,1.40817921576709,0.150082972831291,-1.70460112065714,-0.0764476624601125,2.68445921372586,2.6940790206589402
ARID1A,1.29230096433759,0.491400806691416,0.7539426831616841,0.861357855081629,-0.418313026132229,-0.889209407240228,1.17523522915225,-2.4219755816851203,-1.8364910472308502,0.27663708382840196,3.45501775178266,1.96338617284405,-0.5141368516837721,-0.324687381935581,-0.0240316659288621,0.9373954487316031,0.0197346253953279,1.39491211650426,-1.57900024643381,-1.4484884720253899,1.12930000792985,0.7884359141694692,-1.9304649101826399,-0.76487500558318,0.846116976526115,1.3149309360544699,1.03151016113274,2.9021640801375597,1.20616147556842,2.41785567788971,0.878125870924677
ARID1B,1.6247146662155199,2.34848410844782,0.41560971904280103,2.52503939041019,0.8765783757246991,0.603207129767584,2.98377494465712,-1.8957164481722,2.11984074513833,2.85077376773555,1.37267153670457,1.9277960978231499,-0.5567086596914671,3.7700418377697598,2.6042634906186604,3.5895059276815293,-0.204464394116038,1.14758433629244,-1.73843773350708,1.9525021112487,3.20900986301968,2.25674627855681,0.6888132355108909,-0.570790998343368,2.47178291245913,-0.322030254045286,2.89557533424385,2.3345387974595297,3.38013161621502,3.3231294293254705,0.751114168448734
ARID2,-0.0252883232800312,-2.6895198929944404,2.2702705712432096,1.85718140950486,0.0151803978278564,1.00583860990447,2.337037905201,-3.8276753562723,-0.532377371292966,-0.692213417646277,1.01415699489795,5.448692346888549,-1.45929377524387,-0.0281960019766002,3.01426628866752,5.03458314544019,-1.2938930098783201,-0.19215637799757898,-1.51616975274752,0.125038360391637,4.96439002253508,0.482313882044636,-1.08833401179727,0.508214956356581,4.91854483921583,-0.0451604245241608,2.15044857753269,2.6727543237158398,1.92945898532948,1.00939077424953,2.6882197422670195
ARID3A,-1.22850372914646,0.912781148662151,0.5213401458008711,-2.37686425108532,3.53356190832292,1.14657600217931,-1.5546000847292,1.6883136737397302,2.82654648500604,2.6508240992633,2.01400940695493,1.14168948315408,1.1025677345219498,1.24935518440998,3.6445143801061,0.34686650795091195,2.59329294389759,1.5797044582982298,0.44035319637990206,1.3941905016246599,4.98838989837617,3.0590703930753897,2.07877454101282,3.44490011983146,4.77450004272621,-2.43876506646746,-0.8016374249552891,2.0672726529211296,4.05792828478779,0.20335189450173496,2.4802861085108
ARNT,1.2947678848493502,0.5459029160215629,-0.7428239741479771,0.529788263619861,0.635354850921842,-0.22200677813988298,1.8802565792178898,-3.78917177738815,0.440761841894166,0.603657826389704,1.44804415157516,0.184204162307637,0.250106289964276,0.598589513101282,-0.419430226318589,0.8822178457881621,-1.7973637698252698,1.5647745108399298,-2.19578706969601,1.43403167961794,2.1706752155057902,2.0970230410386,0.439022914254705,0.0774976442059608,2.64297325216214,-0.0477752987507407,0.154752772573819,-1.4518355035753998,2.93314822207172,1.59665929494128,1.9301610457315201
ARNTL,1.74412347142441,1.70822469578421,0.12648574719265,0.130021640308848,1.3610027660532,-1.16037722679593,-0.0308777513842849,-0.8340371414390101,-0.36303251667476,0.35065494436286204,0.152894179427728,2.54968145250486,-0.132196137795479,0.0897994738359133,1.84559760475595,4.99809538122419,1.5762693292536598,2.16238772844171,-1.6982915772959297,-1.3089146526099298,3.2311778262821202,0.954707755445311,-0.255847153054586,2.4362835822136,3.3398494947454305,-0.446973121581151,1.24270401267273,1.60929341133562,1.99298072548091,2.00547070038634,2.23127422179207
ASCL1,-1.2100839217164,1.3190713528436397,1.60563380478649,0.312944545360801,0.10525041490888301,1.60985297297139,2.34728978469504,-1.2762882139590601,1.19314504117088,0.822584887022164,1.58451345915099,-0.674898692476265,0.8636028009929441,1.4082798246282,0.506061255104866,-0.5813351541944921,0.538059261258158,-0.9477809759801591,1.8577564183086002,1.53847324918279,1.6331538213937602,1.00049949032978,1.73031530700804,1.4031028795487601,2.16795895754376,-0.3493182531542,-0.0492875883561812,-1.06851176336439,2.4488742590725097,0.0825851271762984,1.08867040410743
ATF1,-0.155110312819378,-0.695405159298268,0.21183313986342397,-0.647690645769043,-0.0537920520807147,-1.0215938826603,-1.3448028248314399,-1.29366703141797,-0.6827449952723299,-1.2727453494597,0.0229666467725551,0.23336856842575698,-0.97736104065707,-1.37555469176337,-1.64362671600061,-0.740901682909106,-0.9291537070634099,-0.23283089646701702,-1.13241915644424,-0.914055940752897,-0.561966200756803,0.4686773733694679,-0.9980681541288291,-1.17848414409394,-0.8678539401422148,-0.441342327944431,-1.70118840097698,-1.2823477031473,-1.04907102761186,0.38925043911185203,-1.3668039884747698
