from to weight Sign alpha
AKT1 CDK2 4 1 0.058149737003040096
AKT1 SREBF1 4 1 0.058149737003040096
APEX1 EPAS1 4 1 0.04223513603210449
ATR KMT2A 6 1 0.03125
CDK2 SMAD4 4 -1 0.04710525539093137
CDK2 ATR 6 1 0.009853576906926174
CDK2 CEBPB 5 1 0.021612328582845876
CDK2 MYC 4 1 0.04710525539093137
CSNK2A1 SSRP1 12 -1 0.002776133840111438
CSNK2A1 TP53 5 1 0.02183477412982174
E2F1 MYC 6 1 0.05852766346593512
E2F2 MYC 6 1 0.0669187100223492
EGF MAPK3 3 1 0.06599447832662145
MAPK1 CSNK2A1 6 1 0.06373707509215329
MAPK1 E2F1 4 1 0.09025288178639981
MAPK1 SREBF1 7 1 0.03967928337324772
MAPK1 STAT1 4 1 0.07245015787451217
MAPK1 STAT3 3 1 0.06599447832662145
MAPK14 MAPK1 5 -1 0.029154724574618724
MAPK14 CSNK2A1 6 1 0.05178930923038125
MAPK14 FOS 5 1 0.08630008665147365
MAPK14 MEF2C 3 1 0.08235429999999996
MAPK14 STAT1 5 1 0.03536888985764504
MAPK3 CSNK2A1 4 1 0.06598869164861357
MAPK3 SREBF1 4 1 0.06598869164861357
NR1H2 SREBF1 5 1 0.022983573700774442
RB1 TAF1 3 -1 0.07956164449907951
SMAD4 E2F4 11 1 0.051418904674492616
SMAD4 MYC 10 1 0.009935934753450344
SMAD4 TFDP1 10 1 0.011296228037476866
SSRP1 TP63 4 -1 0.07775999999999998
STAT1 MYC 10 -1 0.009935934753450344
STAT1 TBX21 5 1 0.08163265306122448
TFDP1 SPI1 6 -1 0.08406568397465074
TFDP1 E2F1 5 1 0.046332288288879205
TFDP1 MYC 11 1 0.00608078698286239
